token,label
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
"
",O
"
",O
 ,O
 ,O
 ,O
小,O
说,O
下,O
载,O
尽,O
在,O
 ,O
 ,O
h,O
t,O
t,O
p,O
:,O
/,O
/,O
w,O
w,O
w,O
.,O
s,O
x,O
c,O
n,O
w,O
.,O
o,O
r,O
g,O
 ,O
-,O
 ,O
手,O
机,O
访,O
问,O
 ,O
m,O
.,O
s,O
x,O
c,O
n,O
w,O
.,O
o,O
r,O
g,O
-,O
-,O
T,O
X,O
T,O
 ,O
书,O
香,O
中,O
文,O
网,O
电,O
子,O
书,O
网,O
"
",O
 ,O
 ,O
"
",O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
《,O
全,O
本,O
校,O
对,O
》,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
-,O
"
",O
"
",O
作,O
者,O
：,O
忘,O
语,O
"
",O
"
",O
"
",O
第,O
一,O
章,O
山,O
边,O
小,O
村,O
"
",O
"
",O
二,O
愣,O
子,O
睁,O
大,O
着,O
双,O
眼,O
，,O
直,O
直,O
望,O
着,O
茅,O
草,O
和,O
烂,O
泥,O
糊,O
成,O
的,O
黑,O
屋,O
顶,O
，,O
身,O
上,O
盖,O
着,O
的,O
旧,O
棉,O
被,O
，,O
已,O
呈,O
深,O
黄,O
色,O
，,O
看,O
不,O
出,O
原,O
来,O
的,O
本,O
来,O
面,O
目,O
，,O
还,O
若,O
有,O
若,O
无,O
的,O
散,O
着,O
淡,O
淡,O
的,O
霉,O
味,O
。,O
"
",O
"
",O
在,O
他,O
身,O
边,O
紧,O
挨,O
着,O
的,O
另,O
一,O
人,O
，,O
是,O
二,O
哥,O
韩,O
铸,O
，,O
酣,O
睡,O
的,O
十,O
分,O
香,O
甜,O
，,O
从,O
他,O
身,O
上,O
不,O
时,O
传,O
来,O
轻,O
重,O
不,O
一,O
的,O
阵,O
阵,O
打,O
呼,O
声,O
。,O
"
",O
"
",O
离,O
床,O
大,O
约,O
半,O
丈,O
远,O
的,O
地,O
方,O
，,O
是,O
一,O
堵,O
黄,O
泥,O
糊,O
成,O
的,O
土,O
墙,O
，,O
因,O
为,O
时,O
间,O
过,O
久,O
，,O
墙,O
壁,O
上,O
裂,O
开,O
了,O
几,O
丝,O
不,O
起,O
眼,O
的,O
细,O
长,O
口,O
子,O
，,O
从,O
这,O
些,O
裂,O
纹,O
中,O
，,O
隐,O
隐,O
约,O
约,O
的,O
传,O
来,O
韩,O
母,O
唠,O
唠,O
叨,O
叨,O
的,O
埋,O
怨,O
声,O
，,O
偶,O
尔,O
还,O
掺,O
杂,O
着,O
韩,O
父,O
，,O
抽,O
旱,O
烟,O
杆,O
的,O
“,O
啪,O
嗒,O
”,O
“,O
啪,O
嗒,O
”,O
吸,O
允,O
声,O
。,O
"
",O
"
",O
二,O
愣,O
子,O
缓,O
缓,O
的,O
闭,O
上,O
已,O
有,O
些,O
涩,O
的,O
双,O
目,O
，,O
迫,O
使,O
自,O
己,O
尽,O
早,O
进,O
入,O
深,O
深,O
的,O
睡,O
梦,O
中,O
。,O
他,O
心,O
里,O
非,O
常,O
清,O
楚,O
，,O
再,O
不,O
老,O
实,O
入,O
睡,O
的,O
话,O
，,O
明,O
天,O
就,O
无,O
法,O
早,O
起,O
些,O
了,O
，,O
也,O
就,O
无,O
法,O
和,O
其,O
他,O
约,O
好,O
的,O
同,O
伴,O
一,O
起,O
进,O
山,O
拣,O
干,O
柴,O
。,O
"
",O
"
",O
二,O
愣,O
子,O
姓,O
韩,O
名,O
立,O
，,O
这,O
么,O
像,O
模,O
像,O
样,O
的,O
名,O
字,O
",",O
他,O
父,O
母,O
可,O
起,O
不,O
出,O
来,O
，,O
这,O
是,O
他,O
父,O
亲,O
用,O
两,O
个,O
粗,O
粮,O
制,O
成,O
的,O
窝,O
头,O
，,O
求,O
村,O
里,O
老,O
张,O
叔,O
给,O
起,O
的,O
名,O
字,O
。,O
"
",O
"
",O
老,O
张,O
叔,O
年,O
轻,O
时,O
，,O
曾,O
经,O
跟,O
城,O
里,O
的,O
有,O
钱,O
人,O
当,O
过,O
几,O
年,O
的,O
伴,O
读,O
书,O
童,O
，,O
是,O
村,O
里,O
唯,O
一,O
认,O
识,O
几,O
个,O
字,O
的,O
读,O
书,O
人,O
，,O
村,O
里,O
小,O
孩,O
子,O
的,O
名,O
字,O
，,O
倒,O
有,O
一,O
多,O
半,O
是,O
他,O
给,O
起,O
的,O
。,O
"
",O
"
",O
韩,O
立,O
被,O
村,O
里,O
人,O
叫,O
作,O
“,O
二,O
愣,O
子,O
”,O
，,O
可,O
人,O
并,O
不,O
是,O
真,O
愣,O
真,O
傻,O
，,O
反,O
而,O
是,O
村,O
中,O
屈,O
一,O
指,O
的,O
聪,O
明,O
孩,O
子,O
，,O
但,O
就,O
像,O
其,O
他,O
村,O
中,O
的,O
孩,O
子,O
一,O
样,O
，,O
除,O
了,O
家,O
里,O
人,O
外,O
，,O
他,O
就,O
很,O
少,O
听,O
到,O
有,O
人,O
正,O
式,O
叫,O
他,O
名,O
字,O
“,O
韩,O
立,O
”,O
，,O
倒,O
是,O
“,O
二,O
愣,O
子,O
”,O
“,O
二,O
愣,O
子,O
”,O
的,O
称,O
呼,O
一,O
直,O
伴,O
随,O
至,O
今,O
。,O
"
",O
"
",O
而,O
之,O
所,O
以,O
被,O
人,O
起,O
了,O
个,O
“,O
二,O
愣,O
子,O
”,O
的,O
绰,O
号,O
，,O
也,O
只,O
不,O
过,O
是,O
因,O
为,O
村,O
里,O
已,O
有,O
一,O
个,O
叫,O
“,O
愣,O
子,O
”,O
的,O
孩,O
子,O
了,O
。,O
"
",O
"
",O
这,O
也,O
没,O
啥,O
，,O
村,O
里,O
的,O
其,O
他,O
孩,O
子,O
也,O
是,O
“,O
狗,O
娃,O
”,O
“,O
二,O
蛋,O
”,O
之,O
类,O
的,O
被,O
人,O
一,O
直,O
称,O
呼,O
着,O
，,O
这,O
些,O
名,O
字,O
也,O
不,O
见,O
得,O
比,O
“,O
二,O
愣,O
子,O
”,O
好,O
听,O
了,O
哪,O
里,O
去,O
。,O
"
",O
"
",O
因,O
此,O
，,O
韩,O
立,O
虽,O
然,O
并,O
不,O
喜,O
欢,O
这,O
个,O
称,O
呼,O
，,O
但,O
也,O
只,O
能,O
这,O
样,O
一,O
直,O
的,O
自,O
我,O
安,O
慰,O
着,O
。,O
"
",O
"
",O
韩,O
立,O
外,O
表,O
长,O
得,O
很,O
不,O
起,O
眼,O
，,O
皮,O
肤,O
黑,O
黑,O
的,O
，,O
就,O
是,O
一,O
个,O
普,O
通,O
的,O
农,O
家,O
小,O
孩,O
模,O
样,O
。,O
但,O
他,O
的,O
内,O
心,O
深,O
处,O
，,O
却,O
比,O
同,O
龄,O
人,O
早,O
熟,O
了,O
许,O
多,O
，,O
他,O
从,O
小,O
就,O
向,O
往,O
外,O
面,O
世,O
界,O
的,O
富,O
饶,O
繁,O
华,O
，,O
梦,O
想,O
有,O
一,O
天,O
，,O
他,O
能,O
走,O
出,O
这,O
个,O
巴,O
掌,O
大,O
的,O
村,O
子,O
，,O
去,O
看,O
看,O
老,O
张,O
叔,O
经,O
常,O
所,O
说,O
的,O
外,O
面,O
世,O
界,O
。,O
"
",O
"
",O
当,O
韩,O
立,O
的,O
这,O
个,O
想,O
法,O
，,O
一,O
直,O
没,O
敢,O
和,O
其,O
他,O
人,O
说,O
起,O
过,O
。,O
否,O
则,O
，,O
一,O
定,O
会,O
使,O
村,O
里,O
人,O
感,O
到,O
愕,O
然,O
，,O
一,O
个,O
乳,O
臭,O
未,O
干,O
的,O
小,O
屁,O
孩,O
，,O
竟,O
然,O
会,O
有,O
这,O
么,O
一,O
个,O
大,O
人,O
也,O
不,O
敢,O
轻,O
易,O
想,O
的,O
念,O
头,O
。,O
要,O
知,O
道,O
，,O
其,O
他,O
同,O
韩,O
立,O
差,O
不,O
多,O
大,O
的,O
小,O
孩,O
，,O
都,O
还,O
只,O
会,O
满,O
村,O
的,O
追,O
鸡,O
摸,O
狗,O
，,O
更,O
别,O
说,O
会,O
有,O
离,O
开,O
故,O
土,O
，,O
这,O
么,O
一,O
个,O
古,O
怪,O
的,O
念,O
头,O
。,O
"
",O
"
",O
韩,O
立,O
一,O
家,O
七,O
口,O
人,O
，,O
有,O
两,O
个,O
兄,O
长,O
，,O
一,O
个,O
姐,O
姐,O
，,O
还,O
有,O
一,O
个,O
小,O
妹,O
，,O
他,O
在,O
家,O
里,O
排,O
行,O
老,O
四,O
，,O
今,O
年,O
刚,O
十,O
岁,O
，,O
家,O
里,O
的,O
生,O
活,O
很,O
清,O
苦,O
，,O
一,O
年,O
也,O
吃,O
不,O
上,O
几,O
顿,O
带,O
荤,O
腥,O
的,O
饭,O
菜,O
，,O
全,O
家,O
人,O
一,O
直,O
在,O
温,O
饱,O
线,O
上,O
徘,O
徊,O
着,O
。,O
"
",O
"
",O
此,O
时,O
的,O
韩,O
立,O
，,O
正,O
处,O
于,O
迷,O
迷,O
糊,O
糊,O
，,O
似,O
睡,O
未,O
睡,O
之,O
间,O
，,O
恼,O
中,O
还,O
一,O
直,O
残,O
留,O
着,O
这,O
样,O
的,O
念,O
头,O
